,edad,genero,paises,titulo_academico,puesto_trabajo,años_experiencia,plataforma_informatica,sector_laboral,tamaño_empresa,salario,servidor_datos,lenguaje_programacion,entorno_desarrollo,libreria_visualizacion,funciones_puesto,herramienta_publicacion
10033,18-21,Man,India,Bachelor’s degree,Business Analyst,< 1 years,A laptop,Marketing/CRM,0-49 employees,$0-999,,Python,Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
10041,22-24,Man,Bangladesh,Master’s degree,Data Analyst,1-3 years,A personal computer / desktop,Computers/Technology,250-999 employees,"25,000-29,999",Google Cloud BigQuery ,"Python, SQL, C, C++, Java, Javascript","RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Spyder, Notepad++, Vim / Emacs"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,D3 js ,Altair "," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models", Streamlit   NBViewer   GitHub   Personal blog 
10042,22-24,Man,Brazil,Bachelor’s degree,Business Analyst,1-3 years,A laptop,Accounting/Finance,"10,000 or more employees",$0-999,,"Python, SQL","RStudio ,Visual Studio Code (VSCode) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models", GitHub 
10043,25-29,Woman,United States of America,Master’s degree,Data Analyst,5-10 years,A laptop,Computers/Technology,"1000-9,999 employees","90,000-99,999",Amazon Redshift ,"Python, R, SQL","RStudio ,PyCharm ,Jupyter Notebook",Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",I do not share my work publicly
10049,35-39,Man,Nigeria,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Non-profit/Service,0-49 employees,$0-999,,"Python, R",RStudio ,D3 js ,Analyze and understand data to influence product or business decisions,I do not share my work publicly
10051,25-29,Man,Germany,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 years,A laptop,Hospitality/Entertainment/Sports,0-49 employees,"50,000-59,999",,"Python, SQL, Java, Javascript, Bash","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",
10065,18-21,Man,India,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Other,0-49 employees,$0-999,,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
10068,60-69,Woman,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,I have never written code,,Government/Public Service,250-999 employees,"30,000-39,999",,,,, Build and/or run a machine learning service that operationally improves my product or workflows,
10094,30-34,Man,United States of America,Master’s degree,Data Analyst,3-5 years,A personal computer / desktop,Medical/Pharmaceutical,"1000-9,999 employees","100,000-124,999",Amazon Redshift ,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) "," Matplotlib ,Seaborn ", Do research that advances the state of the art of machine learning, Kaggle 
10095,25-29,Man,Ghana,Bachelor’s degree,Data Analyst,3-5 years,A laptop,Online Service/Internet-based Services,0-49 employees,"3,000-3,999",SQLite ,"Python, SQL, C, C++, Java, Javascript","Visual Studio ,Visual Studio Code (VSCode) , Notepad++, Sublime Text", None,Analyze and understand data to influence product or business decisions,I do not share my work publicly
10096,25-29,Man,Taiwan,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Academics/Education,0-49 employees,"10,000-14,999",MySQL ,"Python, R, SQL","RStudio , Spyder,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", GitHub   Kaggle 
10102,35-39,Man,Egypt,Bachelor’s degree,Data Analyst,I have never written code,,Accounting/Finance,0-49 employees,$0-999,,,,,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",
10110,35-39,Man,Australia,Doctoral degree,Data Analyst,5-10 years,A laptop,Energy/Mining,50-249 employees,"80,000-89,999",,"Python, R, SQL, MATLAB","RStudio , Notepad++,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Bokeh ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",I do not share my work publicly
10117,25-29,Man,Hong Kong (S.A.R.),Master’s degree,Data Analyst,1-3 years,A laptop,Other,250-999 employees,"30,000-39,999",," R, MATLAB, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Spyder"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", Kaggle 
10118,35-39,Woman,Other,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Other,0-49 employees,"2,000-2,999",,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ", None of these activities are an important part of my role at work,
10126,25-29,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,1-3 years,A laptop,Online Service/Internet-based Services,50-249 employees,$0-999,PostgreSQL ,"Python, SQL, Bash","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows", GitHub   Kaggle 
10141,35-39,Man,Indonesia,I prefer not to answer,Business Analyst,I have never written code,,Shipping/Transportation,"1000-9,999 employees","20,000-24,999",,,,,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
10151,25-29,Man,Indonesia,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Shipping/Transportation,250-999 employees,$0-999,PostgreSQL ,"Python, R, SQL",Jupyter Notebook," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Other
10165,25-29,Man,Indonesia,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Accounting/Finance,"10,000 or more employees","1,000-1,999",,Python,Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions, Kaggle 
10169,35-39,Woman,Australia,Master’s degree,Data Analyst,3-5 years,A personal computer / desktop,Computers/Technology,"1000-9,999 employees","60,000-69,999",,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm , Spyder,Jupyter Notebook",Seaborn ,Analyze and understand data to influence product or business decisions,
10172,45-49,Woman,Brazil,Master’s degree,Data Analyst,< 1 years,A personal computer / desktop,Computers/Technology,250-999 employees,,, SQL,"Visual Studio ,Visual Studio Code (VSCode) , Notepad++", None,,
10176,25-29,Woman,Egypt,Bachelor’s degree,Data Analyst,< 1 years,A laptop,Computers/Technology,50-249 employees,$0-999,Microsoft SQL Server , SQL,"Visual Studio ,PyCharm , Notepad++,MATLAB ", None,Analyze and understand data to influence product or business decisions, GitHub   Kaggle 
10188,40-44,Man,Italy,Some college/university study without earning a bachelor’s degree,Business Analyst,1-3 years,A laptop,Accounting/Finance,0-49 employees,"80,000-89,999",PostgreSQL ,Python,"Visual Studio ,PyCharm "," Matplotlib ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions, Personal blog 
10194,25-29,Man,India,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,A laptop,,,,," C, C++, Java, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Spyder, Notepad++, Sublime Text, Vim / Emacs,MATLAB ,Jupyter Notebook",,,
10212,40-44,Man,Mexico,Bachelor’s degree,Business Analyst,3-5 years,A laptop,Medical/Pharmaceutical,"10,000 or more employees","25,000-29,999",,"Python, R, SQL, Other","RStudio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
10223,25-29,Man,United States of America,Master’s degree,Data Analyst,1-3 years,A laptop,Computers/Technology,"1000-9,999 employees","5,000-7,499",,"Python, R, SQL","RStudio ,MATLAB ,Jupyter Notebook", Matplotlib ," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",I do not share my work publicly
10226,25-29,Man,India,Master’s degree,Data Analyst,3-5 years,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Insurance/Risk Assessment,50-249 employees,"20,000-24,999",,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models", GitHub 
10230,18-21,Man,Viet Nam,Bachelor’s degree,Data Analyst,1-3 years,A laptop,Academics/Education,250-999 employees,$0-999,,"Python, SQL, C, C++","Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
10238,30-34,Man,India,I prefer not to answer,Data Analyst,1-3 years,A laptop,Computers/Technology,0-49 employees,"2,000-2,999",,"Python, SQL","Visual Studio Code (VSCode) ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",
10251,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,10-20 years,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Government/Public Service,250-999 employees,"60,000-69,999",,"Python, SQL","PyCharm , Spyder, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,I do not share my work publicly
10256,40-44,Woman,France,Master’s degree,Data Analyst,3-5 years,A personal computer / desktop,Academics/Education,0-49 employees,,,Python, Spyder, None,,
10263,25-29,Man,Pakistan,Master’s degree,Data Analyst,3-5 years,A laptop,Computers/Technology,0-49 employees,"1,000-1,999",MySQL ,"Python, R, SQL, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) ,PyCharm , Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,D3 js ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models", Plotly Dash   Streamlit   GitHub   Kaggle   Colab 
10268,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Analyst,1-3 years,A laptop,Academics/Education,"1000-9,999 employees","60,000-69,999",,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",
10270,35-39,Man,Egypt,I prefer not to answer,Data Analyst,1-3 years,A laptop,Computers/Technology,0-49 employees,$0-999,,"Python, SQL, Javascript","Visual Studio Code (VSCode) , Spyder,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,
10272,35-39,Man,United States of America,Bachelor’s degree,Data Analyst,3-5 years,Other,Other,50-249 employees,$0-999,,"Python, SQL, MATLAB, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,
